Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
 vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,,
 fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,
 skin_rash, pus_filled_pimples, blackheads, scurring,,,,,,,,,,,,,
 skin_rash, pus_filled_pimples, blackheads, scurring,,,,,,,,,,,,,
 bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,,
 chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,
itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,
 back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,
 skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,
 chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,,
 fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,
 chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,,,,,,,
 constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus,,,,,,,,,,,,,
 joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,,,,,,,,,,,,
 joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,
 fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,
 headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,
 skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,
 burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,
 vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,
 vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
 fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,
 vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,
itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,
 vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,
 joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding,,,,
 headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,
 fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation,,,,,,,
 chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain,,,,,,
 chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,,,,,,
 fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation,,,,,
 skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,
 stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,
 joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
 vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,,,,,
 chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body,,,,
 joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,
